delivary_locations,drone_capacity,obstacles,obstacle_free_distance,distance_after_obstacle_avoidance,distance_after_dp_optimization
20,1,13,166.82914407220773,179.34417559056118,177.28174358022608
20,1,13,179.12918689657002,186.58093396354835,186.302289900854
20,1,13,156.70189591756483,166.91064279781537,165.38422058584672
20,1,13,171.04292188920235,172.20129629397363,172.06719357628737
20,1,13,170.42117229677842,182.04702696299856,179.96221788729582
20,1,13,183.4284901134537,191.74177056708905,191.52712018826367
25,1,13,225.6259848939588,234.1145312841228,233.06756114831177
25,1,13,178.45104875855773,182.5785471975967,181.4325688699658
25,1,13,217.5436852652977,220.8540220668769,218.64888435861369
30,1,13,279.22297182319073,296.6928629101498,295.5888161874499
30,1,13,251.4229162398286,267.1250728014701,266.908546767078
30,1,13,245.62383562501483,259.9089493301105,257.8129271867439
40,1,13,362.4401509052905,393.08740559172,391.5553453666951
40,1,13,325.410146368052,339.5940347634575,338.197823403003
40,1,13,318.2214299402731,333.0870082952132,331.43591144715174
50,1,13,427.1146564254793,438.0209691268146,437.9267812028168
50,1,13,425.7287165829026,451.9406987594838,451.67864384519913
50,1,13,383.412440165084,399.3538807767996,398.079868885827
